timestamp,max_temp,avg_temp,fever_risk,status,trend
2026-06-10 21:51:34,30.56,28.3,0.0,NO_PIG,Collecting data...
2026-06-10 21:51:37,31.24,28.51,0.0,NO_PIG,Collecting data...
2026-06-10 21:51:41,30.18,28.46,0.0,NO_PIG,Collecting data...
2026-06-10 21:51:46,31.1,28.38,0.0,NO_PIG,Collecting data...
2026-06-10 21:51:50,31.17,28.59,0.0,NO_PIG,Collecting data...
2026-06-10 21:51:54,30.31,28.51,0.0,NO_PIG,Collecting data...
2026-06-10 21:51:58,30.31,28.3,0.0,NO_PIG,Collecting data...
2026-06-10 21:52:01,30.65,28.3,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:11,30.44,28.03,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:14,29.78,27.7,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:18,30.21,27.83,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:22,29.59,27.64,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:29,29.96,27.86,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:32,30.59,28.04,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:37,29.62,27.66,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:42,30.18,27.94,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:46,30.36,28.04,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:49,30.4,27.72,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:54,31.03,28.07,0.0,NO_PIG,Collecting data...
2026-06-10 23:36:58,30.61,28.09,0.0,NO_PIG,Collecting data...
2026-06-10 23:37:01,29.55,27.72,0.0,NO_PIG,Collecting data...
2026-06-10 23:37:05,29.77,27.73,0.0,NO_PIG,Collecting data...
2026-06-10 23:37:08,31.03,28.01,0.0,NO_PIG,Collecting data...
2026-06-10 23:37:13,29.6,27.75,0.0,NO_PIG,Collecting data...
2026-06-10 23:37:19,29.52,27.73,0.0,NO_PIG,Collecting data...
2026-06-10 23:37:23,29.53,27.71,0.0,NO_PIG,Collecting data...
2026-06-10 23:37:26,29.13,27.63,0.0,NO_PIG,Collecting data...
2026-06-10 23:37:29,29.97,27.72,0.0,NO_PIG,Collecting data...
2026-06-11 00:17:58,29.35,27.38,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:02,29.59,27.48,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:05,29.07,27.49,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:08,34.74,29.05,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:15,39.89,31.72,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:19,40.76,31.73,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:23,39.66,31.67,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:29,40.09,31.8,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:34,40.26,31.81,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:38,40.49,31.97,0.0,NO_PIG,Collecting data...
2026-06-11 00:18:42,41.33,31.77,0.0,NO_PIG,Collecting data...
2026-06-11 06:08:08,36.96,29.66,0.0,NO_PIG,Collecting data...
2026-06-11 06:09:27,36.25,29.6,0.0,NO_PIG,Collecting data...
